,image_id,question,answer
144527,38310,Do these animals live in the arctic?,no
277983,342109,Is everyone sitting down in this picture?,no
434997,390552,Is this California?,no
37393,154685,Is he skiing?,no
1099,218508,Is this Los Angeles?,no
124314,559482,Has the food been baked?,no
265399,12679,Is there a short train pictured?,no
262105,75122,Did someone forget their luggage?,no
284578,213125,Are these men running?,no
96393,27216,Is there cheese in the salad?,no
421373,517408,Is the boy skiing properly?,no
376983,241410,Are all the animals the same color?,no
293709,347037,Is this the Golden Gate bridge?,no
352190,495988,Is he outdoors?,no
178144,443562,Is someone in the photo about to get hurt?,no
292603,283382,Does this kitchen need cleaning?,no
328469,357509,Is the surface that the is paper sitting on organic?,no
428634,519664,Is there a phone near the toilet?,no
395603,116186,Will the cat fall and get hurt?,no
118186,33425,Are these roosters?,no
228566,64953,Is this a real scene?,no
335666,177829,Is the dog leashed?,no
223134,325524,Is it raining?,no
257351,73626,Are the streets empty do to rain?,no
14836,397479,Is this truck moving?,no
362307,367919,Is the motorcycle on the center stand?,no
137414,38888,Is there a Chinese soda on the table?,no
256484,360334,Does that gentlemen need a shave?,no
225105,195058,Is there a hand sculpture on the table?,no
115634,551594,Is it a sunny day?,no
95843,70043,Is the animal standing?,no
138314,301261,Are there animals in this picture?,no
397102,116617,Is this a wild animal?,no
83707,416878,Is the room busy?,no
116375,32948,Is this a Swiss plane?,no
232268,459234,Is this the desert?,no
126173,428898,Is the landscape in the background flat?,no
159049,307082,Is the trucks bed covered?,no
350216,129971,Is there a kite in the air?,no
322113,470114,Is this a passenger train?,no
36831,10466,Are the curtains open in the window?,no
288567,476537,Is this fruit?,no
50731,538682,Is the skateboard complete?,no
304275,88025,Is there a mattress on this bed?,no
116282,559755,Is this an outdoor marketplace?,no
30237,537122,Is her camouflage working well?,no
20484,268008,Is this little league baseball?,no
72232,282574,Is this photo in color?,no
346852,366383,Is the train moving fast?,no
183109,51720,Is this a competition?,no
385583,375220,Are the people wet?,no
320505,151486,Is this woman sitting on the roof of a church?,no
360655,138807,Should cars be stopped at this light?,no
285168,344388,Is there a church in this picture?,no
267460,384161,Can you see the sun in this picture?,no
244218,462792,Are there boats on the water?,no
207047,58595,Are there Whitecaps on the water?,no
325345,90433,Is this within a city?,no
436394,522062,Are the overhead lights turned off?,no
276739,319105,Does the grass look dry?,no
342003,230617,Are both the lights turned on?,no
125537,166598,Is anything plugged into the outlet?,no
351970,495915,Is there pepperoni on the pizza?,no
141880,564481,Is the man playing Wii?,no
4574,394550,Are these items traditionally baked?,no
203214,188426,Has the horse gone through a river?,no
39760,142320,Does the second bear have matching feet?,no
291861,429113,Does this look like a big wave?,no
244949,200896,Is he wearing skate shoes?,no
266681,231200,Is the pizza burnt?,no
139471,39460,Was this image taken in the fall?,no
334024,359207,Is anyone turning right at this intersection?,no
368951,107836,Are these bananas ready to eat?,no
276302,166163,Is the guy flying?,no
67906,243509,Is the baseball visible?,no
134192,431154,Is the colors on the bed for a boy?,no
195412,317292,Are more than half of the people in this photo carrying umbrellas?,no
355638,497028,Is the woman's hair in a ponytail?,no
273268,340700,Is this a mountain?,no
344285,493500,Is the picture taken inside?,no
182655,313712,Is this a corner?,no
422809,130005,Are the zebras in a zoo?,no
120310,296139,Is this man wearing a t shirt?,no
133315,224734,Is the man standing?,no
220849,193682,Is this a man?,no
271239,172813,Is this a classroom?,no
83709,416878,Is there carpet in this room?,no
261055,361991,Is the countertop the same color as the cabinets?,no
15486,4442,Is this person sad?,no
294800,347354,Did the chef cut his hand?,no
377909,503806,Is the tennis ball wet?,no
183037,182765,Have you ever seen objects like that flying in the sky?,no
60605,148184,Is the ground outside wet?,no
16166,528912,Is the child sitting in front of the bear?,no
352609,365011,Is it snowing?,no
439477,129766,Is there a cell phone?,no
46564,13169,Has someone taken a bite of this?,no
440012,523114,Are there any cream filled donuts?,no
373512,371396,Is this a professional team?,no
59178,221241,Is the vehicle on the left a bus?,no
197336,448944,Are these edible objects high in sugar?,no
9986,2931,Is there an animal in this photo?,no
43733,405579,Is this greasy?,no
386335,244368,Is the elephant wet?,no
207211,451863,Was this picture taken over 100 years ago?,no
247836,332866,Is the bear awake?,no
116096,426096,Would it be safe to put your hand on the stove?,no
318492,168294,Is there a big wave in the water?,no
160300,45283,Is that the strangest hot dog ever?,no
88518,69700,Are there surfboards?,no
245639,142201,Is there any broccoli?,no
87078,24591,Are they on the beach?,no
405781,250381,Is this a virtual image?,no
11316,3293,"Ignoring the tenants of rule #34, is this image pornographic?",no
166748,571385,Is this Justine Henin?,no
111220,555778,Is there a fence?,no
158004,306758,Is this pizza freshly made and ready to bake?,no
322479,355661,Is there a photo effect on the image?,no
381239,373782,Is there a sink in the picture?,no
225537,195153,Are the toys scattered on the floor?,no
39789,404471,Is there a ski lift in the picture?,no
223505,456719,Is this vegetarian friendly?,no
80561,399095,Are these organic bananas?,no
269807,146611,Are these flower stems?,no
349333,232936,Are they having an outdoor meal?,no
24656,531366,Are they feeding the animals?,no
34295,271890,Could this be finger food?,no
309596,102311,Is the broccoli green?,no
64993,542682,Is this a paved street?,no
155165,437080,Are there keys in the picture?,no
68689,287223,Is this toy indoors?,no
172365,179758,Is the women's hair neat?,no
30288,401826,Is it dry outside?,no
279854,211586,Can the time of day be determined?,no
321586,486451,Is the train in motion?,no
253402,465677,They are playing baseball?,no
14045,397213,Do you need to slide the window up to get it open?,no
201793,450194,Are the items on the floor?,no
430172,126950,Is this inside an office?,no
12168,396725,Is there luggage here?,no
358795,388830,Is this man having fun?,no
246372,290398,Does the man have a beard?,no
113331,92729,Do any of the animals have horns?,no
406497,119529,Is the tree an adequate hiding place from predators?,no
15889,241058,Is the kitchen messy?,no
320836,37343,Is the woman wearing jewelry?,no
262567,468461,Is he wearing a wetsuit?,no
202472,188229,Would people be allowed to spend the night here?,no
123877,166141,Are they sitting on the ground?,no
21822,503479,Is the lights on?,no
308702,124117,Is the girl wearing glasses?,no
118727,426791,Is this outdoors?,no
242472,331198,Was this photo taken in a store?,no
367846,238618,Is the gate open?,no
231133,327818,Is that the right ball to be using in that situation?,no
366882,369355,Was the photographer standing up straight?,no
214199,191717,Is the table of glass?,no
238929,330112,Is this a living room?,no
105682,4984,Does the man have both feet on the board?,no
92712,550438,Is he using charcoal?,no
37300,547896,Is the door functional?,no
419260,391971,Is he sitting still?,no
248201,70829,Is the picture old?,no
18779,398568,Are his pants torn?,no
389596,40906,Is this a kids birthday party?,no
399515,117371,Does her bike have a light on the front?,no
32134,211302,Is the refrigerator new?,no
105112,291889,Is this near water?,no
162400,439126,Is the bear eating fish?,no
258943,121582,Are there any cabs in the street?,no
253671,203615,This photo was taken in the summer?,no
283465,13616,Do the spokes match the frame?,no
209240,59220,Is the man teaching his daughter how to surf?,no
30621,393097,Is this bus a double decker?,no
213893,322710,Is this person about to hit the ball?,no
391018,114830,Is the person falling over?,no
239927,461494,Is the bus moving?,no
297845,479372,Can this be used as a handicap ramp?,no
386780,506664,Is this a parking place?,no
295925,85579,Is this person a novice?,no
98779,552199,Is the dishwasher empty?,no
227883,64750,Is the women wearing a bikini?,no
435183,128475,Has a bite been taken out of this?,no
190629,53793,Is it Christmas?,no
228242,300887,Is the man going to fall off the horse?,no
247531,332757,Is there any sink in the toilet?,no
171921,139165,Is the photographer in a white car?,no
331427,96268,Is this a wireless mouse?,no
178151,574635,Was this all handmade?,no
99350,159127,Is the cats name Luna?,no
18694,88270,Is he talking on the phone?,no
1593,393677,Are these horses the same age?,no
237457,329730,Does this man look excited?,no
346993,279009,Is this a commercial jet plane?,no
284423,166585,Did these two dogs steal this boat?,no
344261,100273,Is this woman wearing clip on earrings?,no
55999,103687,Is it sunny?,no
33264,271622,Are the birds wings fully extended?,no
263790,493197,Are people getting ready to eat at the table?,no
141363,564316,Is this man wearing shorts?,no
182069,313541,Are the judges standing up straight?,no
172536,310875,Is the player jumping?,no
122573,165757,Are the woman's hands dirty?,no
346305,100959,Does the pizza have a thin crust?,no
272319,78305,Is the cat sleeping?,no
192932,447623,Are there arrows on the sign?,no
382795,505347,Is the animal pulling the man?,no
22015,268430,Is the ceiling blue?,no
59115,16715,Is it raining?,no
95963,26359,Is the cat Siamese?,no
188237,315229,Is the umbrella broken?,no
298540,7239,Is the heartbroken?,no
430444,389183,Is the artwork on the bus vandalism?,no
57216,409368,Is the shower outside?,no
236283,329384,Is there a shelf on the fireplace?,no
347434,363464,Is someone getting ready to use the laptop on the table?,no
146975,379766,Are the traffic lights on?,no
409345,104395,Is someone going to shave the orange?,no
286996,476045,Is this pitch a strike?,no
31643,140067,Did they just pick this banana?,no
102014,422026,Is the stove turned on?,no
260437,336735,Is he sleeping?,no
267409,207805,Does everyone have a hat on?,no
156710,437516,Is the person wearing elbow or knee pads?,no
56831,461428,Are these newer computers?,no
46790,445621,Is this a time-lapse photo of a rollerblader?,no
368116,107619,Is this a medical device?,no
13163,3804,Is this a photo of an American city?,no
406856,119636,Is this a modern train?,no
36114,534548,Are both bears standing?,no
366565,500323,Are these motorcycles going fast?,no
400776,510979,Are the people in this picture old enough to vote?,no
292284,477658,Are the people on skis?,no
71380,418429,Are there trees lining the street?,no
169192,572040,Is there any towels in this room?,no
412630,21504,Is the man overweight?,no
58444,147569,Is there a pocket on the shirt?,no
277655,252581,Is the plane taking off?,no
260674,205757,Is there water in the image?,no
263630,75546,Is the woman wearing an evening dress?,no
120354,296188,Does the animal appear to be relaxed?,no
291497,341716,Is this a public bathroom?,no
296891,85856,Is the TV facing the couch?,no
163603,308338,Is the catcher a professional player?,no
368084,17935,Is the guy swimming?,no
278055,211051,Is the man wearing glasses?,no
81576,69373,Is there any people in this photo?,no
356375,170253,Is this a seabird?,no
420300,254984,Is this a wedding?,no
103813,291499,Is this per capable of walking on the day of the picture?,no
16882,266976,Is this a loft?,no
255581,580162,Is the cat asleep?,no
283355,494208,Is that alcohol?,no
347879,366430,Is there a crowd?,no
305829,88456,Does this shirt need to be washed?,no
294422,347224,Are the tracks wooden?,no
169179,572040,Is there any toilet paper?,no
364895,61459,Are these people eating at home?,no
423390,518098,Are the giraffes looking at the camera?,no
208917,318974,Is there a clock?,no
380785,111492,Does that truck get good gas mileage?,no
385548,506289,Are the floor's stones well worn?,no
90642,179031,Is the girl running with the kite?,no
438500,293283,Has the pizza been eaten?,no
387376,259242,What is the object near the vase?,no
434051,521366,Are two men getting married?,no
417748,254210,Are there reflections on  the table?,no
149543,400264,Is the landscape flat?,no
137441,38896,Is this a HDTV?,no
169817,179019,Does the fridge have the same height as the oven?,no
44516,12548,Is this plane landing?,no
32409,271351,Is the flower artificial?,no
272827,78436,Is the boy flying?,no
6194,288117,Are the cows grazing?,no
392075,115145,Is there a coffee pot?,no
348952,101752,Are there any red signs along this roadway?,no
89962,25404,Is it cloudy?,no
242277,299085,Are all the people men?,no
41805,11818,Is one of the horses wearing a hat?,no
28642,532501,Does the mirror show a shower?,no
106821,30195,Is it sunny in the picture?,no
239038,330133,Do you see the Space Needle?,no
296242,80246,Do they appear to be at a party?,no
18400,398473,Is it snowing?,no
71955,340261,Is this a dining room table?,no
279102,80271,Is the skater wearing athletic pants?,no
155577,568249,Can you see a windmill?,no
51704,145685,Is the donkey real/alive?,no
90394,25533,Are the people in water?,no
312744,221665,Is this a skate park?,no
386366,254131,Is the man's tie red?,no
352192,495988,Is he dressed in a suit?,no
361729,367772,Is it a passenger train?,no
70747,413242,Is this in a farm?,no
381664,504968,IS this a recent picture?,no
322186,486650,Are these people wet?,no
50539,407550,Are there any sweets on the tray?,no
284950,447471,Is the exposure time too long?,no
231213,196776,Is the man left handed?,no
413471,497246,Is the man wearing boxer shorts?,no
269144,208379,Are they watching TV?,no
413205,252759,Is the water muddy?,no
316756,484985,Is the plant getting sun?,no
154286,174680,Does the man have facial hair?,no
230381,65456,Can you see both players?,no
185488,183398,Is this a bathroom?,no
329159,95562,Are they related?,no
296329,478927,Is this cat's coat solid?,no
309940,89694,Is there a sock in this picture?,no
141376,171103,Is this man's jacket buttoned?,no
122332,165674,Is the man eating spaghetti?,no
417552,123099,Is this a yield sign?,no
358220,361373,Is this person bowling at a bowling alley?,no
210937,452912,Is someone holding a purse?,no
342479,99701,Is the cat laying on a carpet piece?,no
123621,428212,Is the train going backwards?,no
52456,145845,Is this an example of 'fine dining'?,no
315487,222472,Are they watching a tennis match?,no
220150,62420,Is this picture modern?,no
51128,538779,Do you see a face?,no
87037,240867,Is this room mostly dark?,no
25293,531552,Is the fridge broken?,no
146540,430615,Is this an airport?,no
272847,174229,Is this person on the ground?,no
302365,218574,Are the colors in this photo garish?,no
163369,570418,Is this a home cooked meal?,no
257506,410245,Is this a workplace?,no
319513,354734,Can you tell me what the truck sign says?,no
347767,232463,Is the mobile phone a flip phone?,no
95964,26359,Is the cat using the laptop?,no
310915,221055,Is there many trees in the background?,no
379479,373254,Was this photo taken in a zoo?,no
63546,280112,Have they finished remodeling?,no
185210,79154,Is the toilet seat up?,no
21901,137320,Is this a display?,no
369618,501247,Is the skateboarder moving fast?,no
201517,53177,Is there a ski lift in the photo?,no
363658,368348,Is the street clean?,no
435175,128475,Is this a healthy breakfast?,no
110340,555494,Is this a cut in half burrito?,no
202617,319339,Is the plant in a wicker basket?,no
18532,136373,Is the dog afraid of the cat?,no
64831,280484,Is the garbage truck full?,no
144956,172121,Is there a design on the plate?,no
134243,37955,Is a bird about to land?,no
81399,69365,Is the child's eyes safe?,no
395126,116049,Does the little girl like the cookie?,no
402798,511624,Is that a freight train?,no
345530,493911,Has the pizza been cut into pieces?,no
301215,495122,Have the lights been left on?,no
108274,554886,Are they wearing baseball hats?,no
18011,267290,Is it cloudy?,no
434031,390286,Are there a lot of red shaped hearts?,no
202735,450457,Is the brown animal also a zebra?,no
138270,552650,Is the bed made?,no
60269,541314,Is anything wrong with the mirror?,no
2195,634,Does the rider have short hair?,no
40476,26263,Do bananas normally deliver messages?,no
176312,180911,Does the stop sign reflect in the water?,no
318347,354361,Is there a toilet in this picture?,no
233141,37123,Has it rained recently?,no
203843,450763,Is this a military plane?,no
100363,159392,Have the towels been used?,no
188057,184109,Are the bananas ripe?,no
248029,201862,Is this person playing professionally?,no
435485,521775,Are most people wearing rain gear?,no
95389,26932,Are his feet touching the skateboard?,no
198887,56145,Do you see people swimming?,no
369920,370273,Is it raining?,no
343035,493114,Is the lady having trouble cutting the cake?,no
183769,51871,Is the cat sleepy?,no
309531,482780,Is the snow untouched?,no
39562,142263,Is it night time?,no
171176,48340,Is this a Major League Baseball game?,no
322648,355717,Does the boy have long hair?,no
235205,329035,Is this a party?,no
190616,53793,Are they sitting on a bench?,no
107320,423562,Is this in a third world country?,no
372894,371198,Is there carpeting in this bathroom?,no
226920,195531,Is the bathroom wall blue?,no
358547,235760,IS the boy wearing shades?,no
113312,92729,Are all cats of the same breed?,no
288796,345531,Is this man wearing a helmet?,no
76584,21662,Is this man training to do some serious snowboarding?,no
217970,61803,Are both children riding this pony female?,no
246287,201324,Did the plane land in the middle of a field?,no
3977,132212,Is the moon visible?,no
264769,231103,Is this a color photo?,no
346991,101190,Are these desks occupied?,no
210033,434067,Did someone sleep on the bench?,no
247938,332905,Is this horse in a cage?,no
416714,253907,Is the cooler open?,no
89304,287369,Are there any potatoes in this dish?,no
335090,490596,Does this room need to be remodeled?,no
382518,243116,Is this an indoor oven?,no
129535,49782,Is this a man?,no
194336,447994,Do the glasses all have the same amount of liquid?,no
365872,369016,Are these adult animals?,no
185632,183435,Are the apples in crates?,no
310325,408185,Is there a webcam?,no
433473,259044,"Judging by the stoplight, is someone free to drive forward?",no
272585,359283,Is the wall more than one color?,no
339787,98892,Are the motorcycles running?,no
170297,441296,Is the remote on the table?,no
283677,146751,Is this a cloudy day?,no
319680,517881,Is the plane about to take off?,no
30008,270688,Would this be a healthy meal?,no
44654,327758,Is this dog a good surfer?,no
59272,147823,Are these people military?,no
317677,364862,Are the men spread evenly on the field?,no
349427,364032,Are the lights on?,no
144123,565098,Is this a passenger plane?,no
5718,132710,Is the person going slow?,no
441109,354391,Is the child wearing a business outfit?,no
114165,425536,Is the building made of brick?,no
114917,425758,Is this a family?,no
59476,541105,Does this person have long nails?,no
50048,407378,Is this a one-way street?,no
125849,166674,Are there two people holding surfboards?,no
200269,187642,Is this a foul ball?,no
390577,114686,Is there a clock on the building?,no
36933,554643,Are there a lot of people here?,no
378872,241974,Is this sign's current condition a result of a city mandate?,no
252242,72111,Do both couches have a flower print?,no
125373,35485,Do you see clouds?,no
434669,259394,Are the oxen drowning?,no
380662,504861,Is this an ad for a modern refrigerator?,no
404134,318203,Is the man looking at himself in the mirror?,no
232265,459234,Are these cows Holsteins?,no
8723,2545,Is this a passenger train?,no
114856,425742,Are the women smoking?,no
245021,69837,Is this a vegan meal?,no
263845,468825,Is this tennis player standing behind the baseline?,no
205739,259443,Are these professional tennis players?,no
329596,269422,Are there any clouds in the sky?,no
101336,421825,Does the person holding the umbrella appear to be real?,no
437690,289790,Is this an iPhone 6 plus?,no
286706,82729,Are the cook's utensils in motion?,no
143087,302657,Is this a Chinese plate?,no
149791,525152,Is this a museum?,no
73581,414022,Is it daytime?,no
222064,274571,Is this picture colored?,no
140193,432891,Are the spectators involved in the game?,no
436806,463495,Are these sample plates?,no
303293,58316,The train is yellow and black?,no
211425,446880,Is it possible to zip this suitcase?,no
195091,381546,Could this be Mardi Gras?,no
7348,393576,Are there any people in the water?,no
189028,315466,Is the wave high?,no
105944,292120,Is this considered street art?,no
182039,401780,Is there color in the picture?,no
378102,241720,Is this a competition?,no
142178,564545,Is the boat going to crash into the house?,no
133866,159225,Is everyone wearing a green helmet?,no
289071,83464,Are the horses wearing blinders?,no
82355,416482,Is this game being broadcast?,no
233406,328500,Is the elephant at a zoo?,no
25997,269592,Are stems still on the apples?,no
50539,407550,Are there any sweets on the tray?,no
20221,136849,Is this a ski resort?,no
160508,176414,Is the table cloth wrinkled?,no
292307,215522,Is he in the water?,no
303012,480883,Is the computer a Macintosh?,no
69899,19793,Do more people ride this than bicycles?,no
134974,562458,Are the animals the same species?,no
222051,456224,Is the cow to be slaughtered?,no
225022,457184,Can cumulus clouds be seen?,no
274154,78781,Is there a device in the photo for camping out?,no
206797,320667,Are these kitchen cabinets new?,no
420687,123975,Is the road wet?,no
323406,487033,Is the tv on?,no
346032,231958,Is there sand in this picture?,no
148339,41952,Are four of the cockpit windows showing?,no
127064,166993,Can you see grass?,no
176743,181027,Is the sun shining?,no
434488,259346,Did the car kidnap the luggage on top?,no
354460,496636,Is there a line of animals?,no
191651,185127,Is there a pond behind the men?,no
120505,34104,Is any of this food fried?,no
182240,575734,Is the motorbike standing in the shade?,no
109272,175609,Is this a dessert?,no
323460,343319,Is this the work of a professional photographer?,no
401432,21387,Are there any horses?,no
115138,163683,Is that coffee in the cup?,no
160503,176414,Are the flowers dying?,no
73752,20839,Is the picture black and white?,no
375977,372130,Is this a casino?,no
93738,550745,Is the plate real?,no
275719,231668,It's this scene taking place in Kansas?,no
202127,319227,Do you see people riding motorcycle?,no
276194,472666,Has it been raining?,no
276751,472842,Are the tiles checkered?,no
360769,236424,Is this a wooden chair?,no
101458,159723,Is this girl from China?,no
217371,578250,Are there more than 2 ladies working?,no
129714,429829,Would men dress like this?,no
38354,141931,Is this a military exercise?,no
413576,21514,Will the dog dig up a bone in this environment?,no
58511,147591,Is this baked yet?,no
58775,306069,Is there any ham on the pizza?,no
113751,297859,Are these animals  behind glass?,no
127062,166993,Is this water hole man made?,no
346863,366383,Is anyone boarding the train?,no
157231,44425,Can this dog be drinking with the bottle cap still on?,no
49997,538435,Is the kite moving toward the trees?,no
243599,200494,Is this an airport?,no
322866,355786,Is it hot here?,no
168314,47548,Is this picture from the desert?,no
175421,442790,Are the boys sitting at a table?,no
144972,172121,Are there enough slices of pizza to feed a football team?,no
26469,531861,Is the person wearing wig?,no
107350,30355,Is the mirror dirty?,no
249637,33992,Are all these animals the same color?,no
200187,580842,Is the snow dirty?,no
413078,514871,Does the animal have tusks?,no
289836,16677,Is there water in the background?,no
298959,217531,Is the batter swinging the bat?,no
187114,8794,Is the bike in this picture for a child?,no
434469,521482,Did he hit the ball?,no
145920,565613,Is there any juice on the table?,no
180888,444308,Is this a lady?,no
238513,330028,Is this dog asleep?,no
31214,241779,Can you see both tails?,no
294421,347224,Is there smoke in the image?,no
259117,205270,Is the truck in motion?,no
368268,238735,Does the end of the train look like a face?,no
267395,515230,Is the horse in motion?,no
396655,509693,Is it a sunny day?,no
343214,176991,Will this cat attack?,no
304718,219228,Is there a bird in the picture?,no
126235,35696,Is the TV on?,no
296322,347849,Is this plane's propeller in motion?,no
199176,318403,Are the people a couple?,no
5487,394817,Is this used for eating?,no
324391,225160,Is the dog wearing a helmet?,no
146799,41552,Is the woman afraid of the dog?,no
45091,12726,Is this scene in a rural area?,no
326787,540092,Is this dog running?,no
126406,297880,Have those two people just been married?,no
22843,268668,Is the computer turned off?,no
328761,385567,Do you see a red bicycle?,no
108075,376366,Could this be at a convention or a show?,no
37674,166207,Is there a restaurant near this shop?,no
379981,373401,Is she wearing glasses?,no
244065,557721,Is the man wearing a white helmet?,no
108429,30647,Is this a photo you would see in the Bible?,no
95716,551303,Will removing the sticker fix the laptop?,no
397752,247895,Is there water?,no
46687,351726,Are this only  ladies playing?,no
2031,262727,Is this cat's mouth open?,no
2138,393826,Is this a color photo?,no
214719,337812,Is the bird in flight?,no
251289,566432,Is that a fried egg?,no
154614,466037,Does the grass look dry?,no
68278,150435,Is it around holiday times in this picture?,no
97733,433007,Is the man drinking from a coke cola glass?,no
315133,91301,Does the tree have fruit?,no
52672,145911,Is there a laptop?,no
422896,124709,Are both computers on?,no
265220,338169,Is there construction on this street?,no
125085,162089,Will he fall on his ass?,no
124875,131170,Is the bus moving?,no
362347,389002,Are the tomatoes ripe?,no
58210,147506,Is it raining?,no
26327,7535,Is there  dog?,no
169706,310053,Is the sun out and shining?,no
279729,80471,Should you turn left at this intersection?,no
71675,544582,Is there a tub shower combination in this image?,no
295560,407465,Is the street too narrow?,no
203899,71749,Are the stands full?,no
183352,182861,Is the kid barefoot?,no
236824,67415,Can you see clouds in the sky?,no
282868,363107,Does this woman have perfect vision?,no
90984,418927,Do you think the person in the photo is a certified cook?,no
299274,429490,Are these birds at the beach?,no
116221,557205,Is there diet Pepsi in the refrigerator?,no
366825,107188,Has this bench been painted?,no
198475,569253,Should the horse be running loose?,no
239038,330133,Do you see the Space Needle?,no
190501,184822,Is the bus heading straight forward?,no
38933,45526,Does the pizza have spices on the slices?,no
77098,152860,The teddy is gray?,no
304048,481171,Is the giraffe sitting down?,no
324645,299682,Is this a real train?,no
226073,326373,Is this man made snow?,no
261600,468170,Are there people standing beside the clock?,no
168950,440904,Is this a modern picture?,no
195293,579394,Is there more than 1 train in the picture?,no
225113,195058,Did someone get married?,no
387904,375962,Are these animals in their natural habitat?,no
128719,429559,Is it really safe to position a liquid that close to an electronic device?,no
197897,158418,Is this a brand new motorbike?,no
224341,194820,Is this a well organized workspace?,no
282498,81363,Are the animals all looking in the same direction?,no
102071,28824,Was this taken at night?,no
105200,551470,Is it rush hour in Sydney?,no
81117,22882,Is this woman drunk yet?,no
232137,459200,Are there vegetables cooking?,no
6826,546466,Is this a hospital?,no
209089,59170,Is that a cab next to the bus?,no
